,Unnamed: 0,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,PER_norm,TS%_norm,USG%_norm,WS/48_norm,BPM_norm,VORP_norm,PerfScore
0,0,DeMar DeRozan,34.0,CHI,SF,79.0,79.0,2989.0,19.7,0.584,0.166,0.452,1.6,11.3,6.4,21.8,1.5,1.5,7.7,25.8,7.0,2.2,9.2,0.147,2.1,-0.3,1.8,2.8,CPOY-2,1.1010210492390413,0.3590685584888851,1.2699686564992492,0.7063256443995733,0.7097135915943183,2.0697821246399712,1.0359799374768397
1,1,Domantas Sabonis,27.0,SAC,C,82.0,82.0,2928.0,23.2,0.637,0.081,0.389,11.0,32.3,21.4,33.9,1.2,1.5,17.9,22.2,8.6,4.0,12.6,0.206,4.0,2.4,6.5,6.2,MVP-8DPOY-10NBA3,1.6273872728345502,0.8392869730724264,0.6926784848926729,1.2404578541717852,1.580038618986073,5.026613731268502,1.8344104892043351
2,2,Coby White,23.0,CHI,PG,79.0,78.0,2881.0,14.5,0.57,0.46,0.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,3.1,1.6,4.7,0.078,0.7,-1.3,-0.7,0.9,none,0.3189912313257139,0.23221841124040252,0.7728576753935863,0.08166255161512216,0.24677474723700213,0.4174350503475573,0.34498994452656406
3,3,Mikal Bridges,27.0,BRK,SF,82.0,82.0,2854.0,14.9,0.56,0.457,0.245,2.5,12.0,7.1,16.3,1.4,0.9,10.3,24.3,2.1,2.1,4.2,0.07,0.7,-1.0,-0.4,1.2,none,0.37914737116520064,0.14161116320577308,1.0294310849965091,0.009237845205330778,0.30232740855988005,0.6783319568147805,0.42334780499124564
4,4,Paolo Banchero,21.0,ORL,PF,80.0,80.0,2799.0,17.3,0.546,0.249,0.397,3.4,20.0,11.6,25.2,1.3,1.6,13.0,29.7,1.3,4.0,5.3,0.09,1.3,0.0,1.3,2.3,AS,0.7400842102021211,0.014761015957290484,1.895366342406373,0.19029961122980932,0.6171258227228551,1.6349539471945993,0.848765158285508
5,5,Kevin Durant,35.0,PHO,PF,75.0,75.0,2791.0,21.2,0.626,0.283,0.295,1.7,17.5,10.0,22.2,1.2,2.9,13.1,29.0,5.1,3.2,8.3,0.142,4.0,0.1,4.0,4.3,MVP-9ASNBA2,1.3266065736371164,0.7396190002343329,1.7831154757050944,0.6610602028934536,1.1170997746287565,3.3742666569760877,1.5002946140124733
6,6,Dejounte Murray,27.0,ATL,SG,78.0,78.0,2783.0,17.7,0.555,0.379,0.179,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,3.3,1.6,4.9,0.084,2.3,-0.6,1.7,2.6,none,0.8002403500416077,0.09630753918845787,1.3982553613007105,0.1359810814224658,0.6911960378200257,1.8958508536618228,0.8363052039058484
7,7,Anthony Edwards,22.0,MIN,SG,79.0,78.0,2770.0,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,MVP-7CPOY-8ASNBA2,1.1010210492390413,0.27752203525771774,2.312298133011122,0.5524231432787666,0.9874768982087081,2.8524728440416416,1.3472023505061663
8,8,Nikola Jokić,28.0,DEN,C,79.0,79.0,2737.0,31.0,0.65,0.164,0.31,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,12.0,5.1,17.0,0.299,9.0,4.2,13.2,10.6,MVP-1CPOY-4ASNBA1,2.8004319997045415,0.9570763955174459,1.8312229900056425,2.0823950661856108,2.82071472186368,8.853101692787776,3.2241571443441166
9,9,Jalen Brunson,27.0,NYK,PG,77.0,77.0,2726.0,23.4,0.592,0.319,0.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,8.8,2.4,11.2,0.198,6.3,-0.4,5.8,5.4,MVP-5CPOY-5ASNBA2,1.6574653427542934,0.43155435691658944,2.3443698092114875,1.1680331477619939,1.4504157425660242,4.330888647355907,1.897121174427716
10,10,Josh Hart,28.0,NYK,SF,81.0,42.0,2707.0,11.8,0.522,0.38,0.169,5.3,22.8,14.0,16.3,1.4,0.8,13.9,13.5,2.0,3.6,5.7,0.1,-1.3,1.4,0.0,1.4,none,-0.08706271259082143,-0.20269637932582255,-0.7024394298232189,0.2808304942420487,0.37639762365705065,0.8522632277929294,0.0862154706586943
11,11,Anthony Davis,30.0,LAL,C,76.0,76.0,2700.0,25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9,DPOY-4ASNBA2DEF1,2.018402181791214,0.6943153762170177,1.4142911994008929,1.2766702073766811,1.3207928661459758,3.896060469910535,1.770088716807053
12,12,Fred VanVleet,29.0,HOU,PG,73.0,73.0,2684.0,16.7,0.568,0.576,0.225,1.3,9.9,5.6,31.1,1.8,2.0,10.1,19.7,5.3,3.1,8.4,0.15,2.6,0.8,3.4,3.6,none,0.6498500004428908,0.2140969616334764,0.29178253238810625,0.7334849093032452,1.0059944519830009,2.765507208552567,0.9434526773838812
13,13,De'Aaron Fox,26.0,SAC,PG,74.0,74.0,2659.0,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31.0,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2,CPOY-12,1.1611771890785283,0.20503623683001337,2.1038322377087475,0.43473299536285553,0.8763715755629522,2.4176446665962694,1.1997991501898941
14,14,Pascal Siakam,29.0,2TM,PF,80.0,80.0,2657.0,19.7,0.601,0.194,0.312,5.8,18.1,11.9,19.4,1.1,0.8,8.9,25.3,5.4,1.5,6.9,0.124,2.6,-0.7,1.9,2.7,none,1.1010210492390413,0.5131008801477568,1.189789465998336,0.498104613471423,0.728231145368611,1.9828164891508973,1.0021772738960109
15,15,Pascal Siakam,29.0,TOR,PF,39.0,39.0,1354.0,18.8,0.6,0.233,0.358,4.3,15.9,10.0,22.1,1.1,0.7,10.3,25.3,2.4,0.6,3.0,0.106,2.2,-0.8,1.4,1.2,none,0.9656697346001963,0.5040401553442938,1.189789465998336,0.3351490240493922,0.6356433764971477,0.6783319568147805,0.7181039522173577
16,16,Pascal Siakam,29.0,IND,PF,41.0,41.0,1303.0,20.7,0.602,0.156,0.267,7.4,20.3,13.9,16.5,1.1,0.9,7.4,25.2,3.0,0.9,3.9,0.143,3.0,-0.5,2.5,1.5,none,1.251411398837758,0.5221616049512199,1.1737536278981529,0.6701132911946776,0.8393364680143669,0.939228863282004,0.8993342090296964
17,17,Jayson Tatum,25.0,BOS,PF,74.0,74.0,2645.0,22.3,0.604,0.427,0.349,2.9,20.9,12.3,21.0,1.4,1.4,10.3,30.2,6.4,4.1,10.4,0.189,4.5,0.6,5.1,4.7,MVP-6CPOY-9ASNBA1,1.4920359581957052,0.540283054558146,1.9755455329072862,1.0865553530509784,1.3207928661459758,3.722129198932386,1.6895569939650796
18,18,Austin Reaves,25.0,LAL,SG,82.0,57.0,2629.0,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2.0,5.9,0.108,0.9,-0.4,0.4,1.6,none,0.4693815809244307,0.6218295777893134,0.3879975609892025,0.3532552006518401,0.45046783875422125,1.0261944987710785,0.5515210429800145
19,19,Tyrese Maxey,23.0,PHI,PG,70.0,70.0,2626.0,19.8,0.573,0.401,0.266,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28.0,5.9,2.1,8.1,0.147,4.1,-1.0,3.1,3.4,MIP-1AS,1.1160600841989132,0.25940058565079166,1.6227570947032677,0.7063256443995733,0.9504417906601227,2.591575937574418,1.2077601895311811
20,20,Luka Dončić,24.0,DAL,PG,70.0,70.0,2624.0,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,8.5,3.5,12.0,0.22,8.3,1.7,9.9,8.0,MVP-3CPOY-6ASNBA1,2.364299985868263,0.6580724770031655,2.905624142717881,1.3672010903889205,2.209635447312023,6.591995170071842,2.6828047188936828
21,21,Nikola Vučević,33.0,CHI,C,76.0,74.0,2610.0,17.7,0.54,0.258,0.107,8.8,25.8,17.1,15.2,1.0,2.4,8.6,23.3,2.7,2.8,5.4,0.1,0.8,-0.7,0.1,1.4,none,0.8002403500416077,-0.03960333286348777,0.8690727039946825,0.2808304942420487,0.3949151774313433,0.8522632277929294,0.5262864367731873
22,22,Jalen Green,21.0,HOU,SG,82.0,82.0,2601.0,14.7,0.541,0.454,0.264,1.7,15.9,8.7,17.3,1.2,1.0,11.4,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1.0,none,0.34906930124545715,-0.03054260806002473,1.5265420661021714,-0.11750539101180431,0.2838098547855874,0.5044006858366318,0.41929565148300313
23,23,Rudy Gobert,31.0,MIN,C,76.0,76.0,2593.0,19.3,0.675,0.005,0.635,13.1,29.2,21.5,5.6,1.0,5.5,13.1,15.4,5.8,5.8,11.6,0.216,0.1,1.7,1.8,2.5,DPOY-1DEF1,1.0408649093995548,1.183594515604022,-0.3977585059197482,1.3309887371840248,0.7097135915943183,1.8088852181727482,0.9460480776724866
24,24,Keegan Murray,23.0,SAC,SF,77.0,77.0,2588.0,13.3,0.569,0.524,0.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,2.6,2.6,5.2,0.096,-0.4,-0.5,-0.9,0.8,none,0.1385228118072538,0.22315768643693945,0.035209122785183955,0.24461814103715293,0.20973963968841683,0.3304694148584829,0.196952802768905
25,25,Miles Bridges,25.0,CHO,SF,69.0,67.0,2581.0,15.4,0.556,0.372,0.174,3.0,19.5,11.0,14.6,1.2,1.2,9.6,24.7,0.7,1.4,2.2,0.04,0.2,-1.3,-1.1,0.6,none,0.4543425459645591,0.10536826399192091,1.0935744373972396,-0.2623548038313872,0.1727045321398315,0.15653814388033396,0.28669551992374964
26,26,Damian Lillard,33.0,MIL,PG,73.0,73.0,2579.0,19.6,0.59,0.487,0.403,1.6,11.8,6.8,28.8,1.3,0.6,11.4,28.4,5.8,1.9,7.7,0.143,3.4,-1.3,2.1,2.7,CPOY-11AS,1.0859820142791698,0.41343290730966337,1.6869004471039981,0.6701132911946776,0.7652662529171962,1.9828164891508973,1.1007519003259338
